,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Binary,Protocol,Service,Application,Webpage,Action,Activity
2863,2863,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,50306,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712652949615,1712652949630,15,2,269,1712652949615,1712652949615,0,1,92,1712652949630,1712652949630,0,1,177,92,134.5,60.10407640085654,177,92,92.0,0.0,92,177,177.0,0.0,177,15,15.0,0.0,15,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Zoom,Network,0,6,us01ccistatic.zoom.us,,,,,Normal,UDP,domain,DNS.Zoom,us01ccistatic.zoom.us,"Open ""Zoom Linux"" link",Network
2864,2864,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,54428,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712652949630,1712652949645,15,2,306,1712652949630,1712652949630,0,1,124,1712652949645,1712652949645,0,1,182,124,153.0,41.01219330881976,182,124,124.0,0.0,124,182,182.0,0.0,182,15,15.0,0.0,15,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,prodlb.siteintercept.qualtrics.com.cdn.cloudflare.net,,,,,Normal,UDP,domain,DNS,prodlb.siteintercept.qualtrics.com.cdn.cloudflare.net,"Open ""Zoom Linux"" link",Network
2865,2865,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,39983,104.16.71.105,00:0c:29:6d:3c:ad,00:0c:29,443,17,4,0,0,1712652949689,1712652968649,18960,13,18187,1712652949689,1712652968649,18960,13,18187,0,0,0,0,0,1399,1399.0,0.0,1399,1399,1399.0,0.0,1399,0,0.0,0.0,0,0,1580.0,2907.734607121933,9601,0,1580.0,2907.734607121933,9601,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,0,6,scout-cdn.salesloft.com,b719940c5ab9a3373cb4475d8143ff88,,,,Normal,UDP,https,QUIC,scout-cdn.salesloft.com,"Open ""Zoom Linux"" link",Web
2866,2866,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,49295,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712652949714,1712652949740,26,2,228,1712652949714,1712652949714,0,1,98,1712652949740,1712652949740,0,1,130,98,114.0,22.62741699796952,130,98,98.0,0.0,98,130,130.0,0.0,130,26,26.0,0.0,26,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,a.usea01.idio.episerver.net,,,,,Normal,UDP,domain,DNS,a.usea01.idio.episerver.net,"Open ""Zoom Linux"" link",Network
2867,2867,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,45692,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712652949714,1712652949734,20,2,258,1712652949714,1712652949714,0,1,98,1712652949734,1712652949734,0,1,160,98,129.0,43.840620433565945,160,98,98.0,0.0,98,160,160.0,0.0,160,20,20.0,0.0,20,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,a.usea01.idio.episerver.net,,,,,Normal,UDP,domain,DNS,a.usea01.idio.episerver.net,"Open ""Zoom Linux"" link",Network
2868,2868,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,42766,172.64.150.90,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712652949741,1712652949947,206,22,5517,1712652949741,1712652949947,206,11,1442,1712652949764,1712652949938,174,11,4075,54,250.7727272727273,433.5796660820556,1514,60,131.0909090909091,155.6190570241669,571,54,370.4545454545455,582.281952946571,1514,0,9.80952380952381,21.264098964261446,95,0,20.6,28.05233204803717,95,0,17.4,30.34322183142573,99,2,0,0,0,20,8,1,1,1,0,0,0,9,4,1,1,1,0,0,0,11,4,0,0,TLS,Web,0,6,a.usea01.idio.episerver.net,579ccef312d18482fc42e2b822ca2430,eb1d94daa7e0344597e756a1fb6e7054,,,Normal,TCP,https,TLS,a.usea01.idio.episerver.net,"Open ""Zoom Linux"" link",Web
2869,2869,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,40553,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712652949755,1712652949774,19,2,270,1712652949755,1712652949755,0,1,94,1712652949774,1712652949774,0,1,176,94,135.0,57.982756057296896,176,94,94.0,0.0,94,176,176.0,0.0,176,19,19.0,0.0,19,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,scout.us1.salesloft.com,,,,,Normal,UDP,domain,DNS,scout.us1.salesloft.com,"Open ""Zoom Linux"" link",Network
2870,2870,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,35460,54.157.35.123,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712652949776,1712653025601,75825,45,11633,1712652949776,1712653025601,75825,22,2587,1712652949870,1712653025601,75731,23,9046,54,258.5111111111111,565.9142491347407,2702,60,117.59090909090912,127.18065856654428,571,54,393.3043478260869,765.653044779577,2702,0,1723.2954545454545,9075.622319823136,58291,0,3610.714285714286,13035.861778735063,58291,0,3442.318181818182,12756.599525946089,58339,2,0,0,0,44,21,0,2,1,0,0,0,21,9,0,1,1,0,0,0,23,12,0,1,TLS,Web,0,6,scout.salesloft.com,579ccef312d18482fc42e2b822ca2430,15af977ce25de452b96affa2addb1036,,,Normal,TCP,https,TLS,scout.salesloft.com,"Open ""Zoom Linux"" link",Web
2871,2871,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,32978,142.250.178.130,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712652949905,1712653120886,170981,45,12013,1712652949905,1712653120886,170981,22,2732,1712652949919,1712653120884,170965,23,9281,54,266.95555555555563,675.738887022453,4254,60,124.1818181818182,145.79131738587256,571,54,403.5217391304348,923.6204390413952,4254,0,3885.9318181818185,14504.968435705903,58735,0,8141.952380952382,20395.30376698565,58736,0,7771.136363636364,19985.15601115096,58735,2,0,0,0,44,21,0,2,1,0,0,0,21,10,0,1,1,0,0,0,23,11,0,1,TLS.Google,Web,0,6,adservice.google.com,579ccef312d18482fc42e2b822ca2430,eb1d94daa7e0344597e756a1fb6e7054,,,Normal,TCP,https,TLS.Google,adservice.google.com,"Open ""Zoom Linux"" link",Web
2872,2872,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,50072,54.245.154.241,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712652950052,1712652950884,832,23,6801,1712652950052,1712652950884,832,10,1382,1712652950278,1712652950884,606,13,5419,54,295.6956521739131,495.1444632889392,1514,60,138.2,162.14314663284415,571,54,416.84615384615387,627.0451666551947,1514,0,37.81818181818183,72.68499312174573,226,0,92.44444444444446,95.57472352969576,239,0,50.5,75.44594693614037,171,2,0,0,0,21,8,1,1,1,0,0,0,8,4,1,1,1,0,0,0,13,4,0,0,TLS,Web,0,6,api-gw.metadata.io,579ccef312d18482fc42e2b822ca2430,f4febc55ea12b31ae17cfb7e614afda8,,,Normal,TCP,https,TLS,api-gw.metadata.io,"Open ""Zoom Linux"" link",Web
