id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
3028,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",52948,"185.125.190.18","00:0c:29:6d:3c:ad","00:0c:29",80,6,4,0,0,1712653142492,1712653142542,50,11,918,1712653142492,1712653142542,50,6,455,1712653142518,1712653142542,24,5,463,54,83.45454545454545,58.571944882108255,243,60,75.83333333333333,32.412446169128714,141,54,92.6,84.09399502937175,243,0,5.0,10.306416555826871,26,0,10.0,13.285330255586423,26,0,6.0,11.343133018115703,23,2,0,0,0,10,3,0,2,1,0,0,0,5,1,0,1,1,0,0,0,5,2,0,1,"HTTP.UbuntuONE","Cloud",0,6,"connectivity-check.ubuntu.com","","","",""
3029,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",59174,"104.19.178.52","00:0c:29:6d:3c:ad","00:0c:29",443,6,4,0,0,1712653516943,1712653516974,31,3,192,1712653516943,1712653516974,31,2,134,1712653516968,1712653516968,0,1,58,58,64.0,8.717797887081348,74,60,67.0,9.899494936611665,74,58,58.0,0.0,58,6,15.5,13.435028842544403,25,31,31.0,0.0,31,0,0.0,0.0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"TLS","Web",1,1,"","","","",""
3030,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",58784,"8.8.8.8","00:0c:29:6d:3c:ad","00:0c:29",53,17,4,0,0,1712653167506,1712653167525,19,2,223,1712653167506,1712653167506,0,1,87,1712653167525,1712653167525,0,1,136,87,111.5,34.64823227814083,136,87,87.0,0.0,87,136,136.0,0.0,136,19,19.0,0.0,19,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DNS","Network",0,6,"support.zoom.com","","","",""
3031,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",44670,"8.8.8.8","00:0c:29:6d:3c:ad","00:0c:29",53,17,4,0,0,1712653519148,1712653519165,17,2,293,1712653519148,1712653519148,0,1,106,1712653519165,1712653519165,0,1,187,106,146.5,57.27564927611035,187,106,106.0,0.0,106,187,187.0,0.0,187,17,17.0,0.0,17,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DNS","Network",0,6,"contile-images.services.mozilla.com","","","",""
3032,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",59038,"149.96.145.29","00:0c:29:6d:3c:ad","00:0c:29",443,6,4,0,0,1712653169165,1712653187384,18219,167,311125,1712653169165,1712653187282,18117,66,26380,1712653169267,1712653187384,18117,101,284745,54,1863.023952095808,3868.9950797505144,26118,60,399.69696969696975,1033.5163869743537,7354,54,2819.2574257425745,4670.935798431541,26118,0,109.75301204819272,702.3480311135316,7259,0,278.72307692307686,1106.4782887004087,7259,0,181.17000000000002,901.1088461591435,7276,2,0,0,0,166,81,1,1,1,0,0,0,65,21,0,1,1,0,0,0,101,60,1,0,"TLS","Web",0,6,"support.zoom.com","579ccef312d18482fc42e2b822ca2430","5d79edf64e03689ff559a54e9d9487bc","",""
3033,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",51032,"34.120.208.123","00:0c:29:6d:3c:ad","00:0c:29",443,6,4,0,0,1712653521117,1712653521532,415,50,20389,1712653521117,1712653521532,415,23,14289,1712653521135,1712653521531,396,27,6100,54,407.78000000000003,779.2525275112383,2974,60,621.2608695652175,1034.9801586763656,2974,54,225.92592592592592,404.1765537604657,1454,0,8.469387755102039,26.862382340998977,168,0,18.863636363636363,38.48969615308375,168,0,15.230769230769232,46.95556000501554,233,2,0,0,0,49,20,0,2,1,0,0,0,22,13,0,1,1,0,0,0,27,7,0,1,"TLS","Web",0,6,"incoming.telemetry.mozilla.org","f436b9416f37d134cadd04886327d3e8","907bf3ecef1c987c889946b737b43de8","",""
3034,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",57893,"8.8.8.8","00:0c:29:6d:3c:ad","00:0c:29",53,17,4,0,0,1712653169166,1712653169192,26,2,268,1712653169166,1712653169166,0,1,93,1712653169192,1712653169192,0,1,175,93,134.0,57.982756057296896,175,93,93.0,0.0,93,175,175.0,0.0,175,26,26.0,0.0,26,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DNS","Network",0,6,"static.cloud.coveo.com","","","",""
3035,0,"172.16.68.1","00:50:56:c0:00:01","00:50:56",50265,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",3702,17,4,0,0,1712653541527,1712653541527,0,1,689,1712653541527,1712653541527,0,1,689,0,0,0,0,0,689,689.0,0.0,689,689,689.0,0.0,689,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WSD","Network",0,6,"","","","",""
3036,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",53864,"8.8.8.8","00:0c:29:6d:3c:ad","00:0c:29",53,17,4,0,0,1712653169168,1712653169184,16,2,272,1712653169168,1712653169168,0,1,87,1712653169184,1712653169184,0,1,185,87,136.0,69.29646455628166,185,87,87.0,0.0,87,185,185.0,0.0,185,16,16.0,0.0,16,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DNS","Network",0,6,"cdn.jsdelivr.net","","","",""
3037,0,"192.168.3.10","00:0c:29:50:75:05","00:0c:29",49493,"8.8.4.4","00:0c:29:6d:3c:ad","00:0c:29",53,17,4,0,0,1712653555852,1712653555852,0,1,95,1712653555852,1712653555852,0,1,95,0,0,0,0,0,95,95.0,0.0,95,95,95.0,0.0,95,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DNS","Network",0,6,"detectportal.firefox.com","","","",""
